id,file,scene,speaker,cut,video_cut,camera,outfit,aspect,desc,est_sec,text,tts_reading
S06_00_akari,clips/S06_00_akari.mp4,S06 見るべき数字③ DSCR,燈,akari_D,AKARI_VIDEO_D,AKARI_CAMERA_02,AKARI_OUTFIT_01,16:9,少し斜めの会話カット,3.2,そして3つ目が、DSCRです。,そしてみっつめが、ディーエスシーアールです。
S06_02_akari,clips/S06_02_akari.mp4,S06 見るべき数字③ DSCR,燈,akari_A,AKARI_VIDEO_A,AKARI_CAMERA_01,AKARI_OUTFIT_01,16:9,正面胸上で話す基本カット,4.9,金利上昇局面では、表面利回りだけを見ていても分かりません。,金利上昇局面では、ひょうめんりまわりだけを見ていても分かりません。
S07_00_akari,clips/S07_00_akari.mp4,S07 大家Mコメント,燈,akari_D,AKARI_VIDEO_D,AKARI_CAMERA_02,AKARI_OUTFIT_01,16:9,少し斜めの会話カット,5.3,では、現役会社員大家Mさんは、この利上げをどう見ているのでしょうか。,では、現役会社員おおやエムさんは、この利上げをどう見ているのでしょうか。
S07_01_ooka_m,clips/S07_01_ooka_m.mp4,S07 大家Mコメント,大家M,ooka_m,OOKA_M_VIDEO_A,OOKA_M_CAMERA_01,OOKA_M_OUTFIT_01,16:9,大家Mが話すコメントカット,9.7,私なら、まず金利が上がったから買わないとは考えません。見るのは、金利が上がってもキャッシュフローが残る物件なのかどうかですね。,私なら、まず金利が上がったから買わないとは考えません。見るのは、金利が上がってもキャッシュフローが残る物件なのかどうかですね。
S07_02_ooka_m,clips/S07_02_ooka_m.mp4,S07 大家Mコメント,大家M,ooka_m,OOKA_M_VIDEO_A,OOKA_M_CAMERA_01,OOKA_M_OUTFIT_01,16:9,大家Mが話すコメントカット,9.3,特にこれから買う物件なら、現在の金利だけではなく、さらに0.5％、1％上がったケースも計算しておきたいです。,特にこれから買う物件なら、現在の金利だけではなく、さらにれいてんごパーセント、いちパーセント上がったケースも計算しておきたいです。
S07_04_ooka_m,clips/S07_04_ooka_m.mp4,S07 大家Mコメント,大家M,ooka_m,OOKA_M_VIDEO_A,OOKA_M_CAMERA_01,OOKA_M_OUTFIT_01,16:9,大家Mが話すコメントカット,14.4,それと、同じ価格の物件でも、融資期間が取れるかどうかでキャッシュフローはかなり変わります。ですから今後は、物件選びと金融機関選びをセットで考えることが、以前より重要になると思います。,それと、同じ価格の物件でも、融資期間が取れるかどうかでキャッシュフローはかなり変わります。ですから今後は、物件選びと金融機関選びをセットで考えることが、以前より重要になると思います。
S08_00_ooka_m,clips/S08_00_ooka_m.mp4,S08 大家の一手,大家M,ooka_m,OOKA_M_VIDEO_A,OOKA_M_CAMERA_01,OOKA_M_OUTFIT_01,16:9,大家Mが話すコメントカット,2.1,今日の大家の一手です。,今日のおおやの一手です。
S08_02_ooka_m,clips/S08_02_ooka_m.mp4,S08 大家の一手,大家M,ooka_m,OOKA_M_VIDEO_A,OOKA_M_CAMERA_01,OOKA_M_OUTFIT_01,16:9,大家Mが話すコメントカット,5.2,金利を予想するより、上がっても耐えられる経営を作る方が重要です。,金利を予想するより、上がっても耐えられる経営を作る方が重要です。
S09_00_akari,clips/S09_00_akari.mp4,S09 燈まとめ,燈,akari_B,AKARI_VIDEO_B,AKARI_CAMERA_03,AKARI_OUTFIT_01,16:9,デスク着席で話すカット（まとめ・締め）,2.4,今日のポイントを整理します。,今日のポイントを整理します。
S10_00_akari,clips/S10_00_akari.mp4,S10 エンディング,燈,akari_B,AKARI_VIDEO_B,AKARI_CAMERA_03,AKARI_OUTFIT_01,16:9,デスク着席で話すカット（まとめ・締め）,11.6,ニュースを知るだけで終わらず、大家としてどう考えるか。燈の不動産ニュースでは、これからも不動産の最新ニュースを、大家の経営目線で分かりやすくお届けします。,ニュースを知るだけで終わらず、おおやとしてどう考えるか。あかりの不動産ニュースでは、これからも不動産の最新ニュースを、おおやの経営目線で分かりやすくお届けします。
S10_01_akari,clips/S10_01_akari.mp4,S10 エンディング,燈,akari_B,AKARI_VIDEO_B,AKARI_CAMERA_03,AKARI_OUTFIT_01,16:9,デスク着席で話すカット（まとめ・締め）,8.1,よければチャンネル登録をお願いします。それでは、また次のニュースでお会いしましょう。燈でした。,よければチャンネル登録をお願いします。それでは、また次のニュースでお会いしましょう。あかりでした。
SHORTS_00_akari,clips/SHORTS_00_akari.mp4,SHORTS Shorts,燈,akari_E,AKARI_VIDEO_E,AKARI_CAMERA_01,AKARI_OUTFIT_01,9:16,Shorts用 縦構図9:16で話すカット,7.4,日銀が政策金利を1.25％程度へ引き上げました。9月24日から適用です。,にちぎんが政策金利をいってんにーごパーセント程度へ引き上げました。くがつにじゅうよっかから適用です。
SHORTS_03_akari,clips/SHORTS_03_akari.mp4,SHORTS Shorts,燈,akari_E,AKARI_VIDEO_E,AKARI_CAMERA_01,AKARI_OUTFIT_01,9:16,Shorts用 縦構図9:16で話すカット,8.5,2つ目は返済比率、3つ目はDSCR。金利がさらに上がっても返済できるか、確認しておきましょう。,ふたつめは返済比率、みっつめはディーエスシーアール。金利がさらに上がっても返済できるか、確認しておきましょう。
SHORTS_04_ooka_m,clips/SHORTS_04_ooka_m.mp4,SHORTS Shorts,大家M,ooka_m,OOKA_M_VIDEO_A,OOKA_M_CAMERA_01,OOKA_M_OUTFIT_01,16:9,大家Mが話すコメントカット,15.4,今日の大家の一手です。現在金利、プラス0.5％、プラス1.0％の3パターンで年間返済額を出してみる。金利を予想するより、上がっても耐えられる経営を作る方が重要です。,今日のおおやの一手です。現在金利、プラスれいてんごパーセント、プラスいってんれいパーセントの3パターンで年間返済額を出してみる。金利を予想するより、上がっても耐えられる経営を作る方が重要です。
